Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
Zombie	No Need To Argue (The Complete Sessions 1994-1995)	100	The Cranberries	6xy6jNeNTYwjnKTDzMyHw2	306364	False	22	0.309	0.649	7	-8.994	1	0.035	0.0158	0.00595	0.313	0.367	166.915	4
Closer	The Downward Spiral	99	Nine Inch Nails	4Qxnaqb9Smbmb44HoMsFB7	373191	False	1	0.562	0.715	10	-8.62	0	0.0421	0.000244	0.652	0.533	0.118	90.008	4
Self Esteem	Smash	98	The Offspring	6qpN7PrkVsP3N3xO7WlCaw	257826	False	8	0.488	0.862	0	-7.595	1	0.0476	0.0204	0	0.706	0.359	104.56	4
Come Out and Play	Smash [Remastered]	97	The Offspring	2FSDgZ3Ysl0a8x8luagG7G	197800	False	3	0.514	0.884	7	-3.765	1	0.151	0.0943	1.52e-06	0.898	0.0654	158.262	4
Tomorrow	Frogstomp	96	Silverchair	4OIpGuYJ6ph56K5GTOqjU7	265560	False	1	0.307	0.736	2	-6.022	1	0.0339	0.000413	0.000102	0.55	0.0991	146.915	4
Seether	American Thighs	95	Veruca Salt	1SY2vughwKmVPm1Lmf5Nl7	196573	False	48	0.613	0.828	8	-9.161	1	0.0401	0.0031	0.00375	0.693	0.088	136.223	4
About A Girl	MTV Unplugged In New York	94	Nirvana	2a8pQLSuhloP8ywoy5Or5i	217199	False	12	0.614	0.768	3	-9.169	0	0.0756	0.152	2.02e-05	0.613	0.873	121.009	4
If I Only Knew	The Lead And How To Swing It	92	Tom Jones	6yFn1gA36FwRVkbtZzXzAX	250560	False	35	0.719	0.877	10	-7.355	0	0.0647	0.0361	9.83e-05	0.769	0.308	115.98	4
Dead Eyes Opened - (Album Version)	Nettwerk: 25 Years of Music	91	Severed Heads	4ZpfYjcPku9Q4sQtD9zyW7	392600	False	0	0.67	0.944	1	-9.111	1	0.0415	0.000897	0.943	0.792	0.344	132.123	4
Do You Love Me? - 1998 Digital Remaster	The Best Of Nick Cave And The Bad Seeds	90	Nick Cave & The Bad Seeds	5yBEuhwgIUC6y5T8QG6DcM	277160	False	0	0.445	0.705	7	-7.229	0	0.029	0.000547	0.48	0.637	0.328	125.338	4
Laid	Laid	89	James	72041ahUnPMAcQDsFffBVw	156826	False	1	0.472	0.861	0	-11.882	1	0.0318	0.0163	0.000718	0.672	0.146	116.11	4
Bug Powder Dust	Clear	88	Bomb The Bass, Justin Warfield	63KmvENfPLZTTFwjZcSkRT	258426	False	0	0.651	0.832	1	-9.957	0	0.0545	0.0294	0.00488	0.931	0.894	98.153	4
Better Get A Lawyer	Three Legged Dog	87	The Cruel Sea	40MX1KAAQP8KVlvDBgl3yw	180693	False	2	0.472	0.644	2	-7.321	1	0.105	0.000643	0.2	0.862	0.256	86.32	4
All I Wanna Do	Tuesday Night Music Club	86	Sheryl Crow	3ZpQiJ78LKINrW9SQTgbXd	272106	False	64	0.836	0.533	9	-11.263	1	0.0332	0.113	0.0105	0.957	0.296	120.08	4
Sabotage - 2009 Digital Remaster	Ill Communication (Deluxe Version) [Remastered]	85	Beastie Boys	7zLZFcyX6jN6YX7KFRzZf3	178293	True	2	0.32	0.943	6	-5.789	0	0.126	0.00497	0.192	0.49	0.0984	166.524	4
Interstate Love Song	Purple	84	Stone Temple Pilots	1AfYo6cKm3yHsJHdmNoGO1	193613	False	71	0.214	0.947	4	-5.053	1	0.0507	0.000552	0.00352	0.483	0.238	170.616	4
Longview	Dookie	83	Green Day	3LRJbFT9rKoKv4aW7PuBJC	233240	True	64	0.381	0.732	10	-7.594	0	0.0536	0.00834	0.0101	0.814	0.0854	142.504	4
Losin' It	Dream It Down	82	Underground Lovers	2Wn38Ne8W740k1hHLdB0Gx	303280	False	29	0.636	0.811	9	-9.782	0	0.0293	0.00442	0.176	0.963	0.139	126.892	4
Time Bomb	Returned Service	81	Nick Barker	6lAQlfaZ5rLnt8xLQzPIAM	285946	False	0	0.478	0.321	11	-14.328	1	0.0398	0.717	0	0.485	0.788	112.879	4
Sweetness and Light	Itch-E Kitch-E Koo	80	Itch-E & Scratch-E	0olW1FtJWvwxNWRyouiw4i	277826	False	0	0.612	0.878	6	-9.44	0	0.0429	0.0499	0.924	0.353	0.125	144.955	4
Black Hole Sun	Superunknown	79	Soundgarden	1f5s5i721OcbLH8XdSac14	318000	False	3	0.361	0.728	6	-8.519	1	0.0368	0.000291	0.000112	0.155	0.0701	105.768	4
Berlin Chair	Sound As Ever	78	You Am I	1fhLBWJ39ihyjEqgPiUf6B	154666	False	45	0.271	0.882	7	-8.483	1	0.06	0.0404	0.00201	0.423	0.0826	142.92	4
Basket Case	Dookie	77	Green Day	6L89mwZXSOwYl76YXfX13s	181533	False	78	0.442	0.943	3	-3.205	1	0.0602	0.00293	8.71e-06	0.781	0.091	85.064	4
Today - 2011 - Remaster	Siamese Dream	76	The Smashing Pumpkins	4IADe5Vh7UgllgdTygSapm	201173	False	0	0.456	0.826	8	-7.611	1	0.0268	3.35e-05	0.57	0.415	0.0548	82.539	4
7 Seconds	Man	75	Youssou N'Dour, Neneh Cherry	6ujamBcBsjC0cpyeMr9xja	299640	False	45	0.681	0.672	1	-10.505	0	0.027	0.075	2.63e-06	0.54	0.147	154.199	4
I Alone	Throwing Copper	74	Live	3LpnzPxkMI6XS4JCbhNeek	231133	False	61	0.406	0.811	6	-7.32	1	0.0442	0.00252	0.00377	0.113	0.375	90.118	4
Doll Parts	Live Through This	73	Hole	49t1GWE6ZiEoBgN92oMDdM	211487	False	56	0.416	0.53	7	-8.182	1	0.0255	0.161	1.34e-06	0.379	0.108	102.029	4
Beercan	Mellow Gold	72	Beck	4U7sXsrNV30wnev984jEzt	240440	False	0	0.78	0.63	6	-9.456	1	0.164	0.00265	0.0047	0.594	0.0933	109.015	4
Confide In Me - Master Mix	The Artist Collection - Kylie Minogue	71	Kylie Minogue	0Cxt6IHr79gcjA153ABnGO	352333	False	0	0.523	0.62	11	-10.419	1	0.0382	0.0539	0.213	0.392	0.103	102.888	4
Fall	Flow, River of My Soul	70	Single Gun Theory	4tFwmMiJtoiqnMxKPPZ6gx	266800	False	21	0.62	0.855	1	-9.897	1	0.0447	0.00561	0.714	0.882	0.0956	110.991	4
Fade Into You	So Tonight That I Might See	69	Mazzy Star	1LzNfuep1bnAUR9skqdHCK	295600	False	71	0.42	0.33	9	-13.925	1	0.0275	0.245	0.000679	0.175	0.0677	157.143	3
Supernova	Whip-Smart	68	Liz Phair	0xQ8FPMnv2mG9VhTgpxn2R	168840	True	39	0.517	0.758	9	-10.457	1	0.0363	0.000362	0.723	0.705	0.332	130.708	4
Miss World	Live Through This	67	Hole	3yMFBuIdPBdJkkzaPBDjKY	179866	False	48	0.331	0.705	7	-9.463	1	0.0381	0.00237	1.33e-06	0.358	0.237	126.704	4
Cornflake Girl	Under the Pink	66	Tori Amos	1300POeOaj8qho30FRHjgf	305493	False	60	0.631	0.638	7	-8.958	1	0.0274	0.4	0.000516	0.812	0.216	133.739	4
Spin The Black Circle	Vitalogy	65	Pearl Jam	0AM4amrTCPYSyrE1QaFc0L	167560	False	0	0.237	0.995	4	-5.111	0	0.0834	0.00123	0.0406	0.133	0.437	218.078	4
Voodoo People	Music for the Jilted Generation	64	The Prodigy	0IYlWIpSsxobpYlFz38VbJ	387000	False	14	0.665	0.996	1	-8.143	0	0.0563	0.00134	0.423	0.348	0.25	149.008	4
Mathar	Sampled! (Jazz Club)	62	Dave Pike Set	6ikKT3dlIAuyCkdqV7uV5d	220973	False	0	0.64	0.57	0	-11.325	1	0.0476	0.233	0.808	0.559	0.0692	115.762	4
Undone - The Sweater Song	Weezer (Deluxe Edition)	61	Weezer	6FxbwB6o1MKOy0dHvxNr2W	304986	False	47	0.45	0.652	6	-5.541	1	0.0276	0.00556	0.000786	0.514	0.0933	80.128	4
Your Ghost	Hips and Makers	60	Kristin Hersh	0A7qioko14RIfc0xd5Vqqi	196866	False	39	0.428	0.227	7	-14.155	1	0.0354	0.847	0	0.322	0.122	145.087	4
Monkey & the Turtle	Stylin' Up	58	Christine Anu	5zgeXNo2qXhRaY126deYPc	239706	False	15	0.806	0.67	11	-9.167	0	0.117	0.0413	0.000315	0.439	0.413	100.701	4
Swamp Thing	Pecker	57	The Grid	7FPtRhFIM1vH1al7tFPwg4	435000	False	24	0.655	0.814	2	-14.604	1	0.0479	5.33e-05	0.918	0.517	0.062	134.123	4
Loser	Mellow Gold	56	Beck	4b8GTae6rqb9oPiRzVa3Gy	234960	False	14	0.595	0.617	6	-10.455	0	0.117	0.0343	0.000135	0.823	0.383	85.387	4
My Wave	Superunknown	55	Soundgarden	3oaeSvAab1VqvCvtKErUuZ	313800	False	0	0.531	0.889	9	-8.657	0	0.0438	0.000103	0.00153	0.794	0.0879	126.844	5
Einstein On The Beach (For An Eggman)	Films About Ghosts: The Best Of...	54	Counting Crows	1EKhZRURaeTNo4AN4I4luS	232240	False	38	0.534	0.942	4	-5.35	1	0.12	0.114	1.42e-06	0.706	0.189	147.058	4
Mr. Jones	August And Everything After	53	Counting Crows	4q5cQyhhUW5X0PQVzA8VsG	272506	False	19	0.58	0.814	0	-6.582	1	0.0363	0.173	1.8e-06	0.722	0.246	141.606	4
Spoonman	Superunknown	50	Soundgarden	2Ekzm3AGOE0u3uXy6rhAZY	246373	False	0	0.268	0.794	0	-11.034	1	0.0341	2.85e-05	0.075	0.903	0.229	182.921	3
Lap It Up	Seven Flights Up	49	Penny Flanagan	3OsPUJGBff3I0GNsHdNzZ4	220693	False	8	0.595	0.307	6	-13.185	1	0.03	0.707	0	0.667	0.0924	95.003	4
Fell On Black Days	Superunknown	48	Soundgarden	0iVmK9TXETx9mBAiDnuo7k	281800	False	1	0.389	0.641	4	-9.623	0	0.0328	0.00126	0.000943	0.546	0.18	203.015	4
Vasoline	Purple	47	Stone Temple Pilots	5vCE0xRLIEG1Zej2tgWFDb	174760	False	61	0.297	0.989	10	-4.945	1	0.111	0.00141	0.000167	0.323	0.0911	168.893	4
Burn	The Crow Original Motion Picture Soundtrack	44	The Cure	0tHOTQBn2M4CD2dcyHivth	398933	False	52	0.574	0.915	2	-9.79	0	0.0399	0.00175	0.664	0.508	0.34	104.042	4
Everything's Cool	Dos Dedos Mis Amigos	43	Pop Will Eat Itself	0WfwM740Y0YyKWMOM4MJcF	257440	False	11	0.568	0.961	10	-6.815	0	0.0556	0.000122	0.583	0.429	0.313	109.799	4
Sometimes Always	Stoned And Dethroned	42	The Jesus and Mary Chain	11sxpJrfYJFxkA77PauDj4	151960	False	35	0.447	0.725	6	-9.902	1	0.0292	0.00106	0.0157	0.597	0.105	116.286	4
Cut Your Hair	Crooked Rain, Crooked Rain	41	Pavement	1RLOHrHraogolLoOUaECf2	186733	False	0	0.471	0.735	4	-9.822	0	0.0305	0.00596	0.00124	0.643	0.166	110.809	4
Hey Jealousy	New Miserable Experience	40	Gin Blossoms	78eYgrKnvycqcai40GjDYF	235426	False	28	0.376	0.923	6	-4.11	0	0.0808	0.000251	0	0.477	0.323	152.94	4
Parklife	Parklife	38	Blur	6Cv1yU5lCryrYVamre6xGc	185333	False	1	0.634	0.793	4	-10.06	1	0.0563	0.128	0	0.735	0.346	138.354	4
A Conspiracy	Amorica	37	The Black Crowes	2L4QKwX4eZubyN5dNkKlqH	284840	False	0	0.397	0.857	2	-3.794	1	0.048	0.00331	0	0.69	0.12	155.171	4
Bull In The Heather	Experimental Jet Set, Trash And No Star	36	Sonic Youth	6px1KhTqAfxdcF6A1JGSpx	184866	False	44	0.652	0.64	7	-12.618	1	0.038	0.0954	0.219	0.388	0.227	128.991	4
Hobo Humpin' Slobo Babe	We Care	35	Whale	4Zjf4XQZushvULDYoYq7VG	239506	False	37	0.343	0.903	0	-6.176	1	0.0956	0.000297	0.435	0.452	0.702	170.244	4
Andres	Hungry For Stink	34	L7, Michael Barbiero	0nidu6qIs1DlnuYC4qyzvm	183973	False	36	0.521	0.869	9	-7.17	1	0.0553	7.09e-05	0.629	0.709	0.0908	129.014	4
Feel The Pain	Without A Sound	33	Dinosaur Jr.	1Yx2hLDlw3q0j1zzamKjSd	258546	False	1	0.287	0.895	0	-5.04	1	0.0668	0.00154	0.0235	0.707	0.0783	131.482	4
Mmm Mmm Mmm Mmm	God Shuffled His Feet	32	Crash Test Dummies	76nvqWPFucUra1xCkN1tnD	235173	False	57	0.58	0.575	3	-7.72	1	0.0231	0.25	1.83e-05	0.37	0.0813	92.934	4
What's The Frequency, Kenneth?	Monster	31	R.E.M.	30EN9Tgoc1nZfoUD6pNapa	239466	False	2	0.367	0.922	2	-4.53	1	0.0343	0.177	0.308	0.712	0.174	94.733	4
Dropout	Saturation	30	Urge Overkill	2JexGZ5aYlNY6YiwDVtfEs	297000	False	0	0.884	0.722	9	-10.804	1	0.0787	0.151	0.122	0.51	0.0431	105.16	4
American Life in the Summertime	Fearless	25	Francis Dunnery	4uckrNXugcRvU1nVaCbbTz	251733	False	22	0.616	0.841	0	-6.604	1	0.088	0.0632	2.91e-06	0.83	0.212	89.996	4
Jaimme's Got a Gal	Sound As Ever	24	You Am I	7DEYtvugfOFhRDY4tLPFCL	207840	False	18	0.508	0.65	7	-9.426	1	0.0314	0.109	5.06e-06	0.37	0.252	125.814	4
Low	Kerosene Hat	23	Cracker	6ctbCIikHbC6tSOL1rewQX	276131	False	53	0.329	0.646	7	-6.962	1	0.0283	0.0093	0.00469	0.471	0.101	173.974	4
No Excuses	Jar Of Flies	21	Alice In Chains	5s7tg13b0zcD8xvuQYrMNG	255573	False	3	0.527	0.838	3	-6.013	1	0.0323	0.0206	0.000662	0.721	0.07	117.454	4
Piece Of Crap	Sleeps With Angels	19	Neil Young, Crazy Horse	5TvxMIXC9PZLZW74vOOl85	195906	False	19	0.502	0.957	1	-9.027	0	0.0348	0.0285	0.0147	0.194	0.19	138.689	4
Am I Wrong	Love Spit Love	18	Love Spit Love	27rRGs85Hv9eyXkWuzUnyM	214173	False	30	0.441	0.659	9	-7.395	1	0.0315	0.35	9.9e-05	0.536	0.305	102.464	4
Saints	Last Splash	17	The Breeders	260hSlqGqp5p4eewkuagRq	151920	False	0	0.493	0.655	11	-12.155	1	0.0336	0.041	0.411	0.831	0.558	114.739	4
Thirsty Dog	Let Love In	15	Nick Cave & The Bad Seeds	6k1oNv0dwHsC6fwnK70f0o	228733	False	0	0.303	0.901	7	-5.505	1	0.078	3.53e-06	0.000142	0.301	0.233	127.815	4
The More You Ignore Me, the Closer I Get	Vauxhall And I	14	Morrissey	77d0w7w4olSAyh3F8UHWaN	223493	False	24	0.391	0.711	6	-7.779	1	0.0283	0.00648	0.0146	0.783	0.135	173.877	4
Purple Haze - From Stone Free: A Tribute To Jimi Hendrix	Join The Dots - The B-Sides & Rarities	13	The Cure	1vxGTbLxzY2E1mC8KgNvWN	320706	False	14	0.652	0.898	2	-6.799	0	0.0404	0.0084	0.729	0.664	0.264	108.025	4
Regulate	Regulate G Funk (Enhanced Reissue)	12	Warren G, Nate Dogg	5EEOjaJyWvfMglmEwf9bG3	250868	False	51	0.832	0.588	11	-10.88	0	0.248	0.4	0	0.716	0.104	95.309	4
Dancing In The Moonlight	Rarities And B-Sides	11	The Smashing Pumpkins	162KlqRG2yNkCTASUU3EAR	261533	False	0	0.598	0.165	4	-17.86	0	0.0364	0.124	0.0933	0.0943	0.166	107.522	4
Round Here	August And Everything After	10	Counting Crows	0zDuCbY4NVcHD4pjXuvJMX	331226	False	3	0.5	0.473	7	-9.331	1	0.0305	0.123	4.33e-05	0.2	0.0816	94.118	4
Shine	Hints, Allegations & Things Left Unsaid	9	Collective Soul	1HZ3cUZUw5htSFmah1V8Ko	306040	False	52	0.54	0.423	6	-8.799	1	0.0283	0.294	0.0884	0.353	0.152	150.135	4
Wildflowers	JUNK THEATRE	8	Things Of Stone and Wood	3zhT0JPtlrG86NnyDbOdKJ	220360	False	14	0.414	0.884	4	-6.913	1	0.111	0.351	3.09e-05	0.682	0.367	183.548	4
Gallows Pole	No Quarter	7	Jimmy Page, Robert Plant	4npCi4Qp0XmEtr3K4BDsuj	249066	False	0	0.405	0.861	0	-9.434	1	0.0549	0.251	0.000668	0.611	0.619	112.571	4
