Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
These Days	Odyssey Number Five	100	Powderfinger	5TrIHwld2ERD75B5TfceEt	298973	False	10	0.156	0.446	9	-7.62	1	0.033	0.0368	0.0128	0.0942	0.161	83.806	4
Weir	Reflector	99	Killing Heidi	4ofwPR24Ex90bZeuEUPAt2	244866	False	1	0.332	0.688	2	-6.604	1	0.044	0.152	4.06e-06	0.598	0.358	155.913	4
Praise You	Why Try Harder	97	Fatboy Slim	6wqU8x7HmQ2v2vJrFsNEVq	227973	False	0	0.621	0.885	1	-6.715	1	0.0467	0.0405	0.363	0.558	0.282	109.719	4
Every You Every Me	Cruel Intentions	96	Placebo, Phil Vinall	4arleVbvlZQ0TUWpBveUM6	215533	False	4	0.484	0.96	5	-5.575	1	0.0574	0.00418	2.6e-06	0.315	0.355	133.071	4
The Bad Touch	Nu Rock	95	Bloodhound Gang	2qONptRzQM0D3BGOgAsapI	259506	True	49	0.818	0.688	0	-7.083	0	0.0379	0.00209	0.0541	0.971	0.282	122.983	4
Guerrilla Radio	The Battle Of Los Angeles	94	Rage Against The Machine	7bgqCH82s1kKWB1KKxBj9m	206200	False	0	0.599	0.957	11	-5.764	1	0.188	0.0129	7.06e-05	0.489	0.155	103.68	4
Nookie	Significant Other	93	Limp Bizkit	1TEZWG1FdjzDdercCguTwj	289560	False	63	0.548	0.926	11	-5.967	1	0.0907	0.00237	0.163	0.294	0.712	97.55	4
Last Kiss	Lost Dogs	92	Pearl Jam	3RErQfC1s2idTehzBKu4Dh	195653	False	5	0.603	0.749	7	-4.756	1	0.0281	0.211	0	0.752	0.0984	112.135	4
Scar Tissue	Californication	91	Red Hot Chili Peppers	2QOMGq8wVTZbLmh7McrvgF	215906	False	60	0.437	0.717	0	-4.803	1	0.039	0.0779	0.00274	0.547	0.108	178.085	4
Learn to Fly	There Is Nothing Left To Lose	90	Foo Fighters	4tjBDR8r3kxBXxQPeRTQgu	235293	False	2	0.459	0.925	4	-4.247	1	0.045	1.63e-05	9.2e-06	0.515	0.256	135.994	4
When I Grow Up	Version 2.0	89	Garbage	1Sqaq3c3zZ3dafPKnPQyPN	203160	False	0	0.563	0.864	7	-7.192	0	0.0368	0.000632	0.000982	0.777	0.818	139.666	4
