Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
Little Lion Man	Sigh No More	100	Mumford & Sons	6b5rA9rthDbZDOQp9UbOgl	245173	True	12	0.517	0.492	5	-8.051	1	0.0272	0.0275	3.2e-05	0.455	0.0873	138.579	4
Parlez-Vous Francais	Parlez-Vous Francais / Flippers	99	Art vs Science	1vjnpzN108bdQyOOztVmrp	213453	False	18	0.648	0.884	0	-4.419	0	0.129	0.000361	1.4e-06	0.815	0.391	132.001	4
Chase That Feeling	State Of The Art	98	Hilltop Hoods	6CnjrPmgbsqTkYRiByMa4d	209266	False	5	0.609	0.874	9	-4.784	0	0.0638	0.623	0	0.523	0.132	97.922	4
Lisztomania	Wolfgang Amadeus Phoenix (Standard Version)	97	Phoenix	3EXCJvehlOGEP9ntHaEMAg	241546	False	3	0.638	0.794	0	-6.448	1	0.037	0.0322	0.00452	0.331	0.514	97.538	4
Broken Leg	Head of The Hawk	96	Bluejuice	32G0h9eJinZuDu89USLU2V	192946	False	48	0.537	0.828	2	-3.897	1	0.0547	0.11	0	0.612	0.379	142.973	4
Bulletproof	Bulletproof	95	La Roux	1r1eut6GuXFFDbX0vd9NPv	205626	False	10	0.683	0.85	3	-3.842	0	0.049	0.000547	5.61e-05	0.676	0.0687	122.985	4
Coin Laundry	Wonder	94	Lisa Mitchell	6VPW1G6U15V6q19yNklJ3I	189186	False	33	0.759	0.412	0	-6.503	1	0.0555	0.471	0.0145	0.73	0.465	85.487	4
Not Fair	It's Not Me, It's You	93	Lily Allen	2PBOI7vYicqDaG9rYbycUO	201146	False	46	0.712	0.864	5	-6.99	1	0.0399	0.0516	0.0115	0.934	0.173	121.474	4
Uprising	The Resistance	92	Muse	4VqPOruhp5EdPBeR92t6lQ	304840	False	75	0.602	0.905	2	-4.046	1	0.0775	0.000202	0.064	0.411	0.117	128.019	4
Dog Days Are Over	Between Two Lungs	91	Florence + The Machine	5vGEdM7LvbgMypJkILhQ4p	252818	False	15	0.494	0.831	7	-5.151	1	0.0996	0.0363	0.00345	0.271	0.119	150.248	4
Heads Will Roll	It's Blitz!	90	Yeah Yeah Yeahs	3zvHOVC4jikl6jORSr6OLE	221000	False	14	0.562	0.903	8	-4.46	0	0.0296	0.000187	0.0939	0.791	0.298	132.009	4
Bonkers	Bonkers	89	Dizzee Rascal, Armand Van Helden	5VsXO4AEebb5Y07Lf8jyND	176880	True	1	0.614	0.813	11	-15.029	0	0.181	0.00614	0	0.725	0.202	126.124	4
1901	Wolfgang Amadeus Phoenix (Standard Version)	88	Phoenix	0hYDZYCpymqkOREQAED69h	193120	False	2	0.592	0.84	0	-5.394	1	0.0429	0.0558	2.3e-05	0.696	0.194	144.081	4
Sticks 'N' Stones	Kings & Queens	87	Jamie T	1khoSOxg6VHzvRlVkczrbl	240832	False	60	0.545	0.851	6	-3.569	1	0.0935	0.0572	0	0.787	0.403	179.947	4
