Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
HUMBLE.	DAMN.	100	Kendrick Lamar	7ujx3NYtwO2LkmKGz59mXp	177000	True	16	0.906	0.625	1	-6.779	0	0.0903	0.000243	3.23e-05	0.423	0.0975	150.018	4
Let Me Down Easy	Go Farther In Lightness	99	Gang of Youths	7DPQwyMQADl9Y8oSvSVpfg	319346	True	62	0.672	0.899	2	-6.878	1	0.0323	0.22	0.302	0.927	0.142	139.01	4
Chateau	Snow	98	Angus & Julia Stone	1LIbTjMdFP15jIXGkcICSU	273533	False	60	0.661	0.589	5	-11.217	1	0.0368	0.637	0.863	0.603	0.111	129.987	4
Ubu	Ubu	97	Methyl Ethel	7JoNtimEhPW7k73wOpdzBV	302786	False	36	0.683	0.722	3	-8.321	0	0.0366	0.00598	0.0211	0.882	0.115	129.991	4
The Deepest Sighs, the Frankest Shadows	Go Farther In Lightness	96	Gang of Youths	5Q5o0jX8RwrHRdLYQkg6BA	351613	True	54	0.355	0.812	0	-5.861	1	0.0767	0.0565	0.00972	0.139	0.141	151.818	4
Green Light	Melodrama	95	Lorde	0gbBzIqrECJOEPvQJIBFs5	234652	False	14	0.616	0.714	9	-7.792	1	0.0982	0.0162	1.23e-05	0.24	0.0817	128.924	4
Go Bang	Changa	94	PNAU	6PKxFkewPt55P5ao5tVS5o	189092	False	49	0.598	0.893	2	-3.072	1	0.0319	0.0714	0.0159	0.485	0.146	120.972	4
Sally	Everyone We Know	93	Thundamentals, Mataya	1eeABeQvOpPcygpjWE9LSI	226560	False	6	0.723	0.866	5	-2.989	0	0.112	0.227	0	0.59	0.194	107.944	4
Lay It On Me	Lay It On Me	92	Vance Joy	4o6aYzYFUHw6hDG0n70TDW	214699	False	52	0.733	0.673	5	-5.713	1	0.0321	0.116	7.96e-06	0.487	0.068	128.009	4
What Can I Do If the Fire Goes Out?	Go Farther In Lightness	91	Gang of Youths	0dgXDPDvQNPKUYNR3KZeHS	295506	False	53	0.396	0.992	2	-3.504	1	0.159	0.000317	0.148	0.0975	0.0597	99.905	4
SWEET	SATURATION II	90	BROCKHAMPTON	2DgMxFMUQRPthW4ROhjen1	274274	True	69	0.718	0.628	10	-6.007	0	0.223	0.543	0	0.722	0.116	92.107	4
Fake Magic	Fake Magic	89	Peking Duk, AlunaGeorge	0lvXfUug5YmOHOyHgXufqF	167058	False	58	0.726	0.862	4	-2.984	0	0.103	0.0408	0.202	0.698	0.63	101.98	4
Young Dumb & Broke	American Teen	88	Khalid	5Z3GHaZ6ec9bsiI5BenrbY	202546	False	84	0.798	0.539	1	-6.351	1	0.0421	0.199	1.66e-05	0.394	0.165	136.949	4
Homemade Dynamite	Melodrama	87	Lorde	12o6dxWGk29uIAP3OWY0pM	189796	True	8	0.762	0.437	10	-5.581	1	0.0568	0.252	2.86e-06	0.217	0.0901	106.965	4
Regular Touch	Perennial	86	Vera Blue	0V1UrYfF9QmRwtpULzXQgw	208146	False	12	0.617	0.555	8	-7.802	0	0.132	0.181	5.68e-06	0.462	0.111	93.833	4
Feel the Way I Do	Quiet Ferocity	85	The Jungle Giants	0TVwMTKyuSp41ytctKTA3T	205146	False	60	0.803	0.636	11	-4.64	0	0.0322	0.0231	0.00505	0.817	0.0791	122.966	4
Marryuna	Marryuna	84	Baker Boy, Yirrmal	6Bvd7iV8XrYpVSFAE6nsIR	194243	False	45	0.751	0.898	5	-6.238	0	0.0936	0.0113	0	0.627	0.934	113.933	4
Exactly How You Are	Exactly How You Are	83	Ball Park Music	3tMN39WvEETN4Cv4PoanzX	216825	True	46	0.434	0.809	9	-5.678	1	0.0551	0.0227	0.00101	0.612	0.35	141.38	4
The Man	Wonderful Wonderful	82	The Killers	1zv2P1cwzIu997ujUYVxZA	250093	False	9	0.614	0.944	6	-2.545	0	0.104	0.0725	2.52e-06	0.546	0.0708	106.014	4
Let You Down	Let You Down	81	Peking Duk, Icona Pop	2MK8xQVIFA81r32V4E1MkT	218853	True	56	0.557	0.883	8	-5.069	0	0.0656	0.0387	1.61e-05	0.588	0.107	99.963	4
Birthdays	More Scared Of You Than You Are Of Me	80	The Smith Street Band	1dHf2xLj9tE7djykuCRziW	213466	True	42	0.488	0.867	8	-3.34	1	0.061	0.118	0	0.372	0.117	108.124	4
Lemon To A Knife Fight	Lemon To A Knife Fight	79	The Wombats	0foqYKMyZKoPl3DuaYlJed	205821	False	38	0.556	0.846	9	-3.578	0	0.044	0.000725	0	0.722	0.0942	150.002	4
Not Worth Hiding	Not Worth Hiding	78	Alex the Astronaut	1XUcnJ4FCAsdClsvdpEp2R	166913	False	45	0.566	0.65	8	-6.782	1	0.0425	0.0245	0.00173	0.851	0.158	121.407	4
rockstar	rockstar	77	Post Malone, 21 Savage	7wGoVu4Dady5GV0Sv4UIsx	218320	True	23	0.577	0.522	5	-6.594	0	0.0984	0.13	9.03e-05	0.119	0.142	159.772	4
Weekends	Weekends	76	Amy Shark	7vEeYo34dX7geZhQVotCJi	190640	False	52	0.28	0.772	11	-5.509	1	0.141	0.0423	4.58e-05	0.356	0.0725	153.034	3
Feel It Still	Feel It Still	75	Portugal. The Man	7FESgYLcOufHqKlwrvJN60	163250	False	69	0.78	0.798	1	-5.151	0	0.0613	0.0406	6.31e-05	0.771	0.0733	78.969	4
Be About You	Sponge Cake	74	Winston Surfshirt	29HSkfe5ITejb0MXhroHtG	248590	False	56	0.763	0.419	8	-9.916	0	0.0529	0.383	0.00169	0.335	0.0732	92.044	4
Mystik	Mystik	73	Tash Sultana	0NnVzBW6TJLaEzcyXjqRDH	249296	False	60	0.548	0.699	2	-7.149	0	0.0517	0.0223	0.000392	0.308	0.0903	132.798	4
Mended	Perennial	72	Vera Blue	3cO4ZL8NcUU7i5o4k12tAS	305120	False	8	0.379	0.537	0	-6.706	1	0.0405	0.208	0.00658	0.0762	0.0641	78.034	4
Low Blows	Low Blows	71	Meg Mac	5Zgl2ldTzXd7Q6iog78pQK	212786	False	52	0.707	0.706	8	-5.984	1	0.0418	0.149	6.01e-05	0.469	0.113	97.997	4
Lay Down	Visions	70	Touch Sensitive	7xrnyfGBnw2ggLcWLufptF	254694	False	54	0.453	0.761	0	-6.179	0	0.114	0.00343	0	0.346	0.38	109.797	4
NUMB	NUMB	69	Hayden James, GRAACE	4JEwMJFPyAl6nNw0UQTwIu	217296	False	59	0.623	0.562	10	-7.08	0	0.0415	0.194	0	0.411	0.091	147.906	4
Slow Mover	Slow Mover	68	Angie McMahon	3wBRiOgNkY97ysxkdD4HhU	187253	False	58	0.531	0.472	3	-7.091	1	0.0407	0.373	0	0.408	0.0694	94.759	4
DNA.	DAMN.	67	Kendrick Lamar	4cGeMgLcykDLAazHFpbZbU	185946	True	11	0.636	0.517	0	-6.759	1	0.36	0.00402	0	0.394	0.0874	139.928	4
Passionfruit	More Life	66	Drake	7hDc8b7IXETo14hHIHdnhd	298940	True	19	0.809	0.463	11	-11.377	1	0.0396	0.256	0.085	0.364	0.109	111.98	4
I Haven’t Been Taking Care Of Myself	I Love You Like A Brother	65	Alex Lahey	71ZMNFgGo9JxxhH0OdvR4o	226649	False	46	0.378	0.888	10	-4.343	1	0.0586	0.00091	6.64e-05	0.464	0.113	189.936	4
Slide (feat. Frank Ocean & Migos)	Funk Wav Bounces Vol.1	64	Calvin Harris, Frank Ocean, Migos	7tr2za8SQg2CI8EDgrdtNl	230813	True	69	0.736	0.795	1	-3.299	0	0.0545	0.498	1.21e-06	0.511	0.254	104.066	4
bellyache	Bellyache	63	Billie Eilish	1HxLdPHNJbFY3DG8c5qqhX	179172	False	7	0.694	0.579	4	-8.608	0	0.0947	0.468	0.0337	0.41	0.58	99.953	4
Got On My Skateboard	Holiday Food	62	Skegss	5ZXSnWrF55eiFa45wCCzKk	227414	True	53	0.498	0.962	7	-3.33	1	0.0731	0.141	0.000425	0.673	0.0948	78.681	4
True Lovers	Paint	61	Holy Holy	5RHY7WkAjAhpxuPN0CTd4F	259964	False	60	0.427	0.749	11	-5.092	0	0.0467	0.433	0.0534	0.378	0.0903	139.031	4
Cola	Cola	60	CamelPhat, Elderbrook	1HrMWH5GUdK6Yi94rbANJA	223869	False	71	0.706	0.74	6	-7.904	1	0.0325	0.0245	0.512	0.444	0.135	122.007	3
Murder to the Mind	Murder to the Mind	59	Tash Sultana	7GQZ0EVbfUsKPfBIUmcRVF	258003	False	47	0.568	0.694	10	-5.657	0	0.0828	0.0916	0.00233	0.577	0.145	86.968	4
In Motion (feat. Japanese Wallpaper)	In Motion (feat. Japanese Wallpaper)	58	Allday, Japanese Wallpaper	1mU3DaaAlIbj8s45i2DS2a	223053	False	1	0.659	0.435	5	-9.788	1	0.0571	0.632	0.0694	0.251	0.0882	107.988	4
Every Day’s The Weekend	I Love You Like A Brother	57	Alex Lahey	6igEXTKqOFuOEJDIAEUU9F	190674	True	46	0.462	0.94	4	-4.189	1	0.0474	0.0042	0.00216	0.813	0.204	182.038	4
Better	Better	56	Mallrat	7iCbeEbIEFbCP559GvoyYL	193923	False	53	0.555	0.697	1	-5.488	1	0.0263	0.115	0	0.168	0.0963	103.934	4
Want You Back	Something To Tell You	55	HAIM	2ixswrurtpfZHrx406eGgw	232120	False	57	0.635	0.853	0	-3.926	1	0.048	0.121	0	0.372	0.371	112.964	4
The Comedown	The Comedown	54	Ocean Alley	2kv7wSssRJhQ6WgcXqdqg0	285692	False	56	0.721	0.448	11	-8.368	0	0.0417	0.021	0.000614	0.549	0.094	125.894	4
Passiona	More Scared Of You Than You Are Of Me	53	The Smith Street Band	6o69nwa1yGi4e9FwTFhRsA	225173	True	45	0.358	0.767	5	-4.261	1	0.0578	0.293	0	0.549	0.103	110.491	4
On Your Way Down	On Your Way Down	52	The Jungle Giants	2Yo4fEPlHTxTpvo05bAb04	225000	False	42	0.721	0.782	7	-5.257	1	0.0423	0.00307	0.0256	0.62	0.0628	148.988	4
Man's Not Hot	Man's Not Hot	51	Big Shaq	2nUJvBO87SkxCViQsLc9Zr	186026	False	14	0.895	0.885	0	-4.182	1	0.268	0.11	4.04e-05	0.633	0.106	134.973	4
Glorious (feat. Skylar Grey)	GEMINI	50	Macklemore, Skylar Grey	0CokSRCu5hZgPxcZBaEzVE	220454	True	78	0.731	0.794	0	-5.126	0	0.0522	0.0323	2.59e-05	0.356	0.112	139.994	4
Moments (feat. Gavin James)	Off The Grid	49	Bliss n Eso, Gavin James	6SlJooJullmwjBsrnRNROA	237613	True	57	0.632	0.724	8	-7.183	1	0.326	0.387	0	0.311	0.0991	82.227	4
Homely Feeling	Homely Feeling	48	Hockey Dad	7rTn3DzQl1xhrZ4Nmiv79Y	140642	False	36	0.46	0.758	8	-5.426	0	0.0571	0.000354	0	0.545	0.0818	137.805	4
6 Pack	The Kids Will Know It's Bullshit	47	Dune Rats	0g8n5hoE16DsNkMpGnVJiL	176158	False	45	0.609	0.903	7	-4.667	1	0.05	0.00198	1.73e-06	0.825	0.601	131.905	4
Watch Me Read You	Watch Me Read You	46	Odette	0rKZTdCJx6tZ5zUbuKOBMs	269332	False	2	0.903	0.603	10	-5.846	0	0.19	0.624	4.48e-06	0.315	0.288	122.045	4
Bad Dream	Quiet Ferocity	45	The Jungle Giants	6lVhkY4iqf1GF5z6lu3mlp	271840	False	55	0.686	0.579	4	-6.104	0	0.0317	0.00177	0.301	0.319	0.066	135.006	4
The Opener	The Opener	44	Camp Cope	5a3ur2dSGVVrWEN5pS4Wgx	220174	False	30	0.567	0.757	7	-5.998	1	0.0375	0.297	0	0.759	0.1	97.183	4
Used to Be in Love	Quiet Ferocity	43	The Jungle Giants	290xSzR8Ee9fm82poMg4od	222786	False	61	0.83	0.631	11	-5.238	0	0.0313	0.0022	0.0359	0.877	0.0539	128.013	4
Boys	Boys	42	Charli XCX	5o4yGlG0PfeVUa6ClIyOxq	162585	False	70	0.867	0.545	2	-5.192	1	0.0625	0.0646	0.000289	0.525	0.0505	139.943	4
21 Grams	Everyone We Know	41	Thundamentals, Hilltop Hoods	09S2ie8M4Gda0UcyPhlcLV	241466	True	3	0.612	0.847	3	-3.225	1	0.0971	0.267	0	0.48	0.225	145.917	4
Saved	American Teen	40	Khalid	248OFOZef6ShXv6DGgbnxU	206533	False	77	0.739	0.448	10	-10.28	0	0.138	0.189	0	0.553	0.118	81.044	4
Life Goes On	Life Goes On	39	E^ST	6XrWIKoIwqomse4ZmBnjQd	210455	False	58	0.701	0.605	0	-6.024	1	0.0297	0.653	0	0.505	0.0753	106.968	4
Fool's Gold	Fool's Gold	38	Jack River	58BmhcRYT2X9PclJJxG4QT	257134	False	53	0.438	0.661	0	-6.412	0	0.0319	0.0158	0	0.355	0.103	79.874	4
Everything Now	Everything Now	37	Arcade Fire	7KsZHCfOitA5V9oQYVdltG	303013	False	67	0.548	0.865	0	-5.325	1	0.0302	0.00171	0.000449	0.61	0.457	116.046	4
Lemon	NO ONE EVER REALLY DIES	36	N.E.R.D, Rihanna, Pharrell Williams	4PpuH4mxL0rD35mOWaLoKS	219706	True	68	0.916	0.727	1	-6.556	1	0.0861	0.00214	0.000145	0.201	0.118	94.997	4
Shred For Summer	Shred For Summer	35	DZ Deathrays	5Wa5INKY3NvixAA1B2N5lY	239521	False	34	0.457	0.912	7	-4.695	0	0.0534	0.000129	7.48e-06	0.229	0.292	107.06	4
Golden	After Hours, Close To Dawn	34	Kingswood	6YKo8apCHPODSwnTiZTTV5	202000	False	47	0.736	0.499	11	-8.636	0	0.0468	0.521	0.003	0.422	0.146	80.034	3
I Love You, Will You Marry Me	YUNGBLUD	33	YUNGBLUD	4cWpl51zHIQ9RVSfGlhW2a	177600	False	3	0.519	0.907	11	-4.773	0	0.0605	3.98e-05	0	0.564	0.089	149.956	4
Amsterdam	Broken Machine (Deluxe)	32	Nothing But Thieves	454I78HEySdcHE8fcVabTb	272240	False	62	0.511	0.934	3	-4.561	1	0.242	0.00403	3.54e-05	0.668	0.242	168.061	4
Perfect Places	Melodrama	31	Lorde	1wC93sZRGcTgKLN2UWRSwW	221874	True	10	0.621	0.574	1	-5.325	0	0.0555	0.00289	3.04e-05	0.537	0.128	104.344	4
In Cold Blood	RELAXER	30	alt-J	4mlWaPW8O8sDjT5yJNUktJ	206853	True	42	0.497	0.712	11	-6.536	0	0.0374	0.145	0.000426	0.605	0.264	143.442	4
Nuclear Fusion	Flying Microtonal Banana	29	King Gizzard & The Lizard Wizard	1cZdLmWjCZhtwq2qRiwjCQ	255453	False	0	0.427	0.783	11	-6.256	1	0.0391	0.337	0.811	0.608	0.162	86.633	4
XO TOUR Llif3	Luv Is Rage 2	28	Lil Uzi Vert	7GX5flRQZVHRAGd6B4TmDO	182706	True	84	0.732	0.75	11	-6.366	0	0.231	0.00264	0	0.401	0.109	155.096	4
Braindead	The Kids Will Know It's Bullshit	27	Dune Rats	7rMoL6AtwtaMcae3NmdvT1	182340	True	41	0.436	0.953	7	-5.406	1	0.06	1.23e-05	0.446	0.52	0.112	134.86	4
Cloud 9	Cloud 9	26	Baker Boy, KIAN	4AyOhSHP4rvJ2LsWixG2pS	194707	False	42	0.857	0.683	1	-6.789	1	0.382	0.111	0	0.365	0.205	109.832	4
Million Man	Million Man	25	The Rubens	2sqV4WwUD6Rydqciys8jtn	192106	False	50	0.472	0.544	9	-5.611	1	0.0997	0.203	0	0.312	0.0986	98.873	4
Electric Feel - triple j Like A Version	Electric Feel (triple j Like A Version)	24	Tash Sultana	1I2cAoTbEeObfMpyiGiuA7	514893	False	50	0.495	0.466	2	-8.626	0	0.0491	0.862	0.27	0.246	0.11	116.531	4
Hey, Did I Do You Wrong?	The Water	23	San Cisco	3hP2CcsoL5dCxHxysmIKHR	184333	False	50	0.692	0.753	4	-7.278	1	0.0315	0.475	0	0.889	0.334	105.037	4
Say Something Loving	I See You	22	The xx	728zbo72kOoYdGR3AhNsyF	238373	False	58	0.627	0.721	0	-7.782	0	0.0304	0.296	6.41e-05	0.383	0.231	130.08	4
Liability	Melodrama	21	Lorde	0or0gNaKAXYYCsOrpvRzAu	171727	False	10	0.534	0.218	10	-11.16	0	0.111	0.923	0	0.345	0.0944	76.715	4
1-800-273-8255	Everybody	20	Logic, Alessia Cara, Khalid	5aFQU3VPCQ3YGfKBA4tLfj	250173	True	17	0.627	0.572	5	-7.738	0	0.0373	0.568	1.52e-06	0.361	0.198	100.041	4
Blood Brothers	Night Thinker - EP	19	Amy Shark	2CMrQfTj0Frv8bM8axjBN9	225865	True	47	0.645	0.733	11	-6.28	1	0.209	0.0251	0	0.271	0.455	91.02	4
Oceans	Oceans	18	Vallis Alps	2suCvIjriPQrcYHGmWjFh8	199948	False	58	0.752	0.645	7	-8.594	1	0.0307	0.153	0.0154	0.425	0.229	119.973	4
Does This Last	Does This Last	17	Boo Seeka	7JflsJmAQmzH4XC7Mxl1JA	212741	False	51	0.447	0.637	11	-7.074	1	0.0349	0.411	4.84e-06	0.155	0.118	140.978	3
Maybe It’s My First Time	Low Blows	16	Meg Mac	2952fALz8E96WGTaVdsTsQ	213240	False	46	0.704	0.645	11	-6.515	0	0.0334	0.339	0	0.606	0.162	90.975	4
The Way You Used to Do	Villains	15	Queens of the Stone Age	1wsnCfewxZlCs7cJxkaMZM	274281	False	64	0.474	0.843	0	-5.909	1	0.272	0.0102	0.104	0.433	0.362	97.691	4
Dawning	Dawning	14	DMA'S	3ejbBJVoZptb1I4PQWdisu	189005	False	34	0.302	0.858	2	-1.808	1	0.0388	5.49e-05	0	0.503	0.383	140.131	4
Hyperreal	Hyperreal	13	Flume, KUČKA	6xjvU0KLzQ1cnLBwo2anf7	254062	False	49	0.65	0.842	11	-5.211	0	0.309	0.0354	0.0619	0.535	0.155	109.868	4
Big For Your Boots	Gang Signs & Prayer	12	Stormzy	3uMB82o0qa7erhiZBW9KQC	238418	True	65	0.515	0.902	6	-4.729	0	0.383	0.0313	0	0.628	0.093	174.589	5
LOVE. FEAT. ZACARI.	DAMN.	11	Kendrick Lamar, Zacari	5WkPWduQVV8fh7pppm1fqg	213400	True	11	0.801	0.58	10	-7.311	1	0.1	0.289	0	0.777	0.153	126.062	4
Do What You Want	Do What You Want	10	The Presets	4tj0SwH5N3cSkKXLe3mQTa	181133	False	1	0.666	0.839	7	-5.493	0	0.0827	0.00123	0.0021	0.845	0.145	144.965	4
Second Hand Car	Weight_Falls	9	Kim Churchill	2smSAM83X6eOLUgDbm8Toe	221493	False	46	0.649	0.81	4	-5.574	0	0.0486	0.0651	2.32e-06	0.634	0.0847	103.157	4
Mask Off	FUTURE	8	Future	0VgkVdmE4gld66l8iyGjgx	204600	True	80	0.833	0.434	2	-8.795	1	0.431	0.0102	0.0219	0.281	0.165	150.062	4
Chasin'	BATS	7	Cub Sport	0XFJRjjAjG2jDJaMLaDXH4	191160	False	57	0.471	0.667	5	-6.395	1	0.0435	0.201	2.26e-06	0.319	0.0869	94.025	4
LOYALTY. FEAT. RIHANNA.	DAMN.	6	Kendrick Lamar, Rihanna	7zjRBaNkVjk1vZ8JqxQIXO	227360	True	9	0.681	0.523	9	-8.963	0	0.0542	0.021	0	0.473	0.178	110.812	4
Snow	Snow	5	Angus & Julia Stone	6GrXHVLIqFXdaXDzez5QDG	252160	True	49	0.741	0.571	2	-7.541	1	0.0289	0.16	0.0076	0.813	0.113	105.732	4
Arty Boy	Arty Boy	4	Flight Facilities, Emma Louise	1qmMkomyEV6TRbYHuS6ZdM	232188	False	49	0.855	0.523	9	-4.559	0	0.0374	0.305	0	0.628	0.0675	117.025	4
Don't Leave	Don't Leave	3	Snakehips, MØ	0Zx8khUcEfCFK2AEoIhC92	214693	True	71	0.657	0.703	1	-3.402	1	0.0753	0.222	0	0.338	0.256	122.381	4
