Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
Are You Gonna Be My Girl	Get Born	100	Jet	305WCRhhS10XUcH6AEwZk6	213800	False	75	0.613	0.953	2	-3.435	1	0.0855	0.00148	0.000582	0.537	0.152	105.046	4
Hey Ya!	NOW #1's	99	OutKast	5dBdCRTTkibsoj93j1PLvi	233453	False	0	0.735	0.969	0	-2.033	1	0.0552	0.0752	0.00019	0.966	0.138	79.522	4
Seven Nation Army	Elephant	98	The White Stripes	3m6KkYKdnbffMpGd9Pm9FP	231920	False	45	0.745	0.466	4	-7.62	0	0.0864	0.00666	0.35	0.303	0.272	123.889	4
(Baby I've Got You) On My Mind	On My Mind	97	Powderfinger	34HKQaa6qewhECLV3968Jj	203560	False	25	0.365	0.974	3	-3.236	1	0.085	0.000648	0.000207	0.699	0.103	146.53	4
Hello	Two Shoes (Online Partner e-Release)	95	The Cat Empire	2xXXWDf0Qlzg62BI7rORAa	230600	False	1	0.573	0.797	11	-5.202	0	0.217	0.342	1.38e-06	0.795	0.274	109.758	4
Sunsets	Vulture Street	94	Powderfinger	5txqlF1lxNhkWy1xYOwr8r	229333	False	11	0.282	0.862	2	-3.591	1	0.0377	1.1e-05	0.0414	0.705	0.0904	167.36	4
Zebra	Sunrise Over Sea	93	John Butler Trio	1tUuMjAJR9vBu2vNWvlYmy	237540	False	48	0.622	0.642	4	-6.996	1	0.0451	0.124	0.0426	0.767	0.165	78.594	4
The Nosebleed Section	State Of The Art	92	Hilltop Hoods	17XgBOneRhF9M2bvjCYzUf	219640	True	2	0.846	0.829	1	-5.44	1	0.187	0.54	2.39e-06	0.895	0.0952	97.474	4
Love Your Way	Vulture Street	91	Powderfinger	6rN6Ji6HZw9FBIaT6s3EMe	271162	False	5	0.303	0.774	6	-4.773	0	0.0446	0.00455	1.28e-06	0.457	0.14	170.067	4
Déjà vu	The Murmur Years - The Best of Something For Kate 1996 - 2007	90	Something For Kate	4X8ppJdBoODwodOqIiaPB5	267293	False	27	0.503	0.688	5	-8.072	1	0.0282	0.00121	0.0434	0.273	0.097	122.078	4
Lighthouse - Orignal	Up All Night	89	The Waifs	6WG7UJqfPe4cIE6ijetuwG	201706	False	7	0.572	0.523	9	-7.542	0	0.0375	0.695	6.67e-06	0.803	0.124	168.175	4
We Used To Be Friends	Welcome To The Monkey House	88	The Dandy Warhols	7hpFYWL3cw5m4y70cce7Zb	199960	False	54	0.712	0.665	6	-4.878	0	0.0266	7.18e-05	0.192	0.594	0.306	105.284	4
The Hardest Button To Button	Elephant	87	The White Stripes	7N3DKWBC8pKoTf0JzyYKaj	212320	False	26	0.687	0.513	7	-8.389	1	0.0793	0.0104	0.312	0.564	0.0937	128.461	4
