Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
No Aphrodisiac - Original	Eternal Nightcap	100	The Whitlams	6jQlAObMMtULuYctlVjCLg	259493	False	12	0.455	0.607	2	-8.27	0	0.039	0.355	8.27e-06	0.636	0.119	74.52	4
Song 2	Blur	99	Blur	4F64QXRV1EGHSm5jIeMmcQ	121306	False	9	0.658	0.726	8	-7.51	1	0.0856	0.00211	0.00229	0.874	0.0922	129.715	4
Tubthumping	Tubthumper	98	Chumbawamba	5YScXJKtefsgdskIy60N7A	278960	False	62	0.606	0.864	11	-7.504	0	0.0919	0.117	0	0.579	0.366	103.834	4
Bitter Sweet Symphony	Urban Hymns	97	The Verve	5yEPxDjbbzUzyauGtnmVEC	358426	False	29	0.389	0.889	9	-6.546	1	0.0442	0.0415	0	0.524	0.463	171.121	4
Dammit	Dude Ranch	95	blink-182	74Zp9QiDrFZpBV949AMbUs	165373	True	4	0.396	0.968	0	-5.069	1	0.101	0.00171	0	0.404	0.162	109.096	4
Paranoid Android	OK Computer	94	Radiohead	1U8ZGtWBxcPeWcwDTCO64X	387213	False	2	0.252	0.849	5	-6.501	1	0.0581	0.0377	0.00592	0.194	0.0545	163.704	4
The Beautiful People	Antichrist Superstar	93	Marilyn Manson	2aIB1CdRRG7YLBu9hNw9nR	218826	True	68	0.639	0.837	1	-10.011	1	0.0616	0.00106	0.558	0.911	0.0559	143.97	4
Karma Police	OK Computer	92	Radiohead	4toSP60xmDNCFuXly8ywNZ	264066	False	19	0.36	0.505	7	-9.129	1	0.026	0.0626	9.22e-05	0.317	0.172	74.807	4
Leaving Home	Slightly Odway	91	Jebediah	3OtIgLTHpPYez3WmDN2iYZ	181333	False	50	0.522	0.812	6	-6.606	1	0.0346	0.0253	2.87e-05	0.459	0.131	121.529	4
Walkin' On The Sun	Smash Mouth (International Version)	90	Smash Mouth	1m2EwoCsZlX5JauNr9O4zk	205826	False	7	0.732	0.973	6	-5.33	1	0.0319	0.456	0	0.967	0.154	123.292	4
One Angry Dwarf and 200 Solemn Faces	Whatever And Ever Amen	89	Ben Folds Five	7q23OMsgK72FQiK1SYY3Pl	232333	False	40	0.393	0.888	7	-5.61	1	0.0371	0.257	8.8e-05	0.582	0.171	127.72	4
Freak	Freak Show	88	Silverchair	2RDgs05sg2vrpwiAEUkWd0	226106	False	57	0.539	0.883	6	-6.614	0	0.0653	0.00451	1.38e-06	0.406	0.0606	118.043	4
Down Again	Sumo	87	The Superjesus	6U8koDtkewQRZPl4X3xQxs	313226	False	37	0.271	0.833	1	-6.999	0	0.042	1.57e-05	0.00275	0.305	0.257	190.779	4
