Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
Buy Me A Pony	Beer, Blokes & BBQs 2	100	Spiderbait	1tGbJApBQWkXqMo2tnJzSX	103933	False	0	0.483	0.91	7	-4.691	1	0.0403	0.00147	0.936	0.975	0.0986	158.554	4
Underground	Ben Folds Five	98	Ben Folds Five	08nT8qF5kq55XBypRz8wzJ	251293	False	39	0.568	0.675	4	-7.298	1	0.0394	0.136	1.11e-05	0.322	0.145	103.984	4
Pepper	Electriclarryland	97	Butthole Surfers	1ng36571Iyov4HBxUClySn	297266	False	59	0.631	0.804	7	-5.492	1	0.166	0.00589	0.00116	0.671	0.16	79.898	4
Glycerine	Sixteen Stone	96	Bush	3WoF0QidrggYV482mOb7ye	266506	False	3	0.43	0.282	5	-14.22	1	0.0342	0.0581	0.00426	0.0868	0.0959	114.136	4
Pick You Up	Double Allergic	95	Powderfinger	53C1LPb2wOPry7mk3WtDdi	259373	False	44	0.569	0.698	10	-7.078	0	0.0271	0.000813	0.00281	0.44	0.29	109.477	4
Breathe	The Fat of the Land	94	The Prodigy	5FCyoZGaN6nRod1oNDJIWZ	334800	False	24	0.682	0.819	9	-6.116	1	0.0501	0.00994	0.881	0.312	0.0389	130.032	4
El Scorcho	Pinkerton	92	Weezer	3g2gQMeeQAEPztiQKMlGSl	243466	False	56	0.479	0.707	1	-4.968	1	0.0659	0.0471	0	0.661	0.0932	148.092	4
Down	311	90	311	0HDaKOlVAfUWXdFR2RhBtN	172160	False	55	0.441	0.922	6	-6.644	0	0.0655	0.000179	1.97e-06	0.565	0.381	175.411	4
Born Slippy	Zoo Anthems	89	Various Artists	1jgo3ZXuaEhszZTwlF7Szi	233693	False	0	0.523	0.908	10	-9.067	1	0.0426	0.00176	0.0213	0.286	0.0882	140.065	4
1979	Mellon Collie And The Infinite Sadness	88	The Smashing Pumpkins	5KRRcT67VNIZUygEbMoIC1	265893	False	19	0.768	0.744	8	-11.267	1	0.0338	0.0218	0.712	0.963	0.063	127.036	4
Kong Foo Sing	Tu-Plang	86	Regurgitator	0tQLJssKmS3zYc9QW4nikt	181133	False	36	0.489	0.923	4	-6.25	1	0.206	0.00179	0.0275	0.444	0.11	88.943	4
Spaceman	The Boy With The X-Ray Eyes	85	Babylon Zoo	0uQcP7QVoLvaFsORsdrgNh	242493	False	50	0.46	0.873	0	-7.96	1	0.0602	0.0161	4.27e-05	0.485	0.255	146.247	4
Firestarter	The Fat of the Land	84	The Prodigy	0QwzCPyTv6UnzjAhZZ0CkB	279800	False	19	0.532	0.948	11	-5.153	1	0.0818	0.00325	0.449	0.376	0.14	141.513	4
Daf	Double Allergic	83	Powderfinger	4itLOfCbRg1kBxqCyPYpzu	210493	False	40	0.564	0.786	2	-7.153	1	0.0277	0.00345	6.92e-05	0.399	0.105	106.105	4
Swallowed	Razorblade Suitcase	82	Bush	11QjTiAYuiJicKiZHeT0OD	290866	False	1	0.257	0.54	1	-9.049	1	0.0338	0.00147	1.09e-05	0.184	0.289	179.788	4
Dogs Are The Best People	Future Spa	81	The Fauves	6aQLduHmIwxyd4Iev9wvYf	168880	False	35	0.536	0.97	5	-3.591	1	0.0874	0.00347	8.88e-05	0.573	0.381	128.421	4
Down In The Park	The Colour And The Shape (Special Edition)	80	Foo Fighters	2XQhg63DQeOUOBxBXDWRuZ	248840	False	0	0.449	0.832	9	-6.627	1	0.0697	0.00415	0.0292	0.323	0.0966	140.918	4
Oh Yeah	Intergalactic Sonic Sevens	79	Ash	2sAIBr9gtLitXqikxfGMtK	286720	False	21	0.282	0.693	9	-4.816	1	0.0289	0.00287	0.0307	0.158	0.209	90.343	4
