Name	Album	Rank	Artist	Track_id	Duration	Explicit	Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Valence	Liveness	Tempo	Time_Signature
Wish You Well	Tea & Sympathy	100	Bernard Fanning	1VPqqYREN10iX8CSvJYyf7	151133	False	33	0.73	0.717	2	-3.983	1	0.0873	0.177	3.85e-06	0.703	0.0628	122.713	4
Catch My Disease	Awake Is The New Sleep	99	Ben Lee	6cmgXQozMvu3LJgT9Z8HPC	253653	False	0	0.766	0.684	11	-6.28	1	0.0324	0.0199	2.15e-05	0.929	0.173	115.983	4
Feel Good Inc	Demon Days	98	Gorillaz	0d28khcov6AiegSCpG5TuT	222640	False	79	0.818	0.705	6	-6.679	1	0.177	0.00836	0.00233	0.772	0.613	138.559	4
Best Of You	In Your Honour	97	Foo Fighters	35eI7JN7aJ9lkCUgcPWn4h	255626	False	1	0.372	0.943	1	-5.049	0	0.0759	0.000678	0.000123	0.389	0.171	129.8	4
DARE	Demon Days	96	Gorillaz	4Hff1IjRbLGeLgFgxvHflk	244999	False	71	0.76	0.891	11	-5.852	0	0.0372	0.0226	0.0868	0.966	0.298	120.265	4
Mind's Eye	Wolfmother	95	Wolfmother	7DX2skZyd0JRIiIhsSYYXn	294026	False	0	0.17	0.613	9	-4.924	0	0.0375	0.223	0.00121	0.0399	0.0958	63.655	4
My Doorbell	Get Behind Me Satan	94	The White Stripes	7edcGJmrKfDKEL3nSJtPWA	241840	False	4	0.611	0.659	8	-9.839	1	0.0342	0.284	0.00625	0.805	0.101	97.131	4
O Yeah	End Of Fashion	93	End Of Fashion	3NnHbRoChijsTVSP8kQTp2	179768	False	3	0.39	0.878	4	-5.157	1	0.0383	0.0104	0	0.509	0.379	159.94	4
Joker And The Thief	Wolfmother	92	Wolfmother	4juq76lIar8YWOLpYMXUAG	280466	False	13	0.264	0.78	0	-2.741	1	0.0517	0.0452	0.0222	0.456	0.376	155.376	4
Do You Want To	You Could Have It So Much Better	91	Franz Ferdinand	09TpJe9jnom4mB2DDhZKkB	215000	False	3	0.414	0.939	0	-2.887	1	0.047	0.0884	0.000612	0.748	0.81	123.091	4
