Position,Song,Artist,Country of Origin,Year
5,"The Deepest Sighs, the Frankest Shadows ",Gang of Youths , Australia,2017
6,Green Light ,Lorde , New Zealand,2017
7,Go Bang ,Pnau , Australia,2017
8,Sally ,Thundamentals featuring Mataya , Australia,2017
9,Lay It On Me ,Vance Joy , Australia,2017
10,What Can I Do If the Fire Goes Out? ,Gang of Youths , Australia,2017
11,SWEET,Brockhampton , United States,2017
12,Fake Magic ,Peking Duk and AlunaGeorge , Australia/ United Kingdom,2017
13,Young Dumb & Broke ,Khalid , United States,2017
14,Homemade Dynamite ,Lorde , New Zealand,2017
15,Regular Touch ,Vera Blue , Australia,2017
16,Feel the Way I Do ,The Jungle Giants , Australia,2017
17,Marryuna ,Baker Boy featuring Yirrmal , Australia,2017
18,Exactly How You Are ,Ball Park Music , Australia,2017
19,The Man ,The Killers , United States,2017
20,Let You Down ,Peking Duk featuring Icona Pop , Australia/ Sweden,2017
21,Birthdays ,The Smith Street Band , Australia,2017
22,Lemon To A Knife Fight ,The Wombats , United Kingdom,2017
23,Not Worth Hiding ,Alex the Astronaut , Australia,2017
24,rockstar ,Post Malone featuring 21 Savage , United States,2017
25,Weekends ,Amy Shark , Australia,2017
26,Feel It Still ,Portugal. The Man , United States,2017
27,Be About You ,Winston Surfshirt , Australia,2017
28,Mystik ,Tash Sultana , Australia,2017
29,Mended ,Vera Blue , Australia,2017
30,Low Blows ,Meg Mac , Australia,2017
31,Lay Down ,Touch Sensitive , Australia,2017
32,NUMB,Hayden James featuring Graace , Australia,2017
33,Slow Mover ,Angie McMahon , Australia,2017
34,DNA.,Kendrick Lamar , United States,2017
35,Passionfruit ,Drake , Canada,2017
36,I Haven't Been Taking Care Of Myself ,Alex Lahey , Australia,2017
37,Slide (feat. Frank Ocean & Migos),Calvin Harris featuring Frank Ocean and Migos , United Kingdom/ United States,2017
38,bellyache ,Billie Eilish , United States,2017
39,Got On My Skateboard ,Skegss , Australia,2017
40,True Lovers ,Holy Holy , Australia,2017
41,Blood (Like a Version) ,Gang of Youths , Australia,2017
42,Cola ,CamelPhat and Elderbrook , United Kingdom,2017
43,Murder to the Mind ,Tash Sultana , Australia,2017
44,In Motion (feat. Japanese Wallpaper),Allday featuring Japanese Wallpaper , Australia,2017
45,Every Day's The Weekend ,Alex Lahey , Australia,2017
46,Better ,Mallrat , Australia,2017
47,Want You Back ,Haim , United States,2017
48,The Comedown ,Ocean Alley , Australia,2017
49,Passiona ,The Smith Street Band , Australia,2017
50,On Your Way Down ,The Jungle Giants , Australia,2017
51,Man's Not Hot ,Big Shaq , United Kingdom,2017
52,Glorious (feat. Skylar Grey),Macklemore featuring Skylar Grey , United States,2017
53,Moments (feat. Gavin James),Bliss n Eso featuring Gavin James , Australia/ Ireland,2017
54,Homely Feeling ,Hockey Dad , Australia,2017
55,6 Pack ,Dune Rats , Australia,2017
56,Watch Me Read You ,Odette , Australia,2017
57,Bad Dream ,The Jungle Giants , Australia,2017
58,The Opener ,Camp Cope , Australia,2017
59,Used to Be in Love ,The Jungle Giants , Australia,2017
60,Boys ,Charli XCX , United Kingdom,2017
61,21 Grams ,Thundamentals featuring Hilltop Hoods , Australia,2017
62,Saved ,Khalid , United States,2017
63,Life Goes On ,E^ST , Australia,2017
64,Fool's Gold ,Jack River , Australia,2017
65,Everything Now ,Arcade Fire , Canada,2017
66,Lemon ,N.E.R.D and Rihanna , United States/ Barbados,2017
67,Shred For Summer ,DZ Deathrays , Australia,2017
68,Golden ,Kingswood , Australia,2017
69,"I Love You, Will You Marry Me ",Yungblud , United Kingdom,2017
70,Amsterdam ,Nothing But Thieves , United Kingdom,2017
71,Perfect Places ,Lorde , New Zealand,2017
72,In Cold Blood ,alt-J , United Kingdom,2017
73,Nuclear Fusion ,King Gizzard & the Lizard Wizard , Australia,2017
74,XO TOUR Llif3 ,Lil Uzi Vert , United States,2017
75,Braindead ,Dune Rats , Australia,2017
76,Cloud 9 ,Baker Boy featuring Kian , Australia,2017
77,Million Man ,The Rubens , Australia,2017
78,Electric Feel - triple j Like A Version,Tash Sultana , Australia,2017
79,"Hey, Did I Do You Wrong? ",San Cisco , Australia,2017
80,Say Something Loving ,The xx , United Kingdom,2017
81,Liability ,Lorde , New Zealand,2017
82,1-800-273-8255 ,Logic featuring Alessia Cara and Khalid , United States/ Canada,2017
83,Blood Brothers ,Amy Shark , Australia,2017
84,Oceans ,Vallis Alps , Australia,2017
85,Does This Last ,Boo Seeka , Australia,2017
86,Maybe It's My First Time ,Meg Mac , Australia,2017
87,The Way You Used to Do ,Queens of the Stone Age , United States,2017
88,Edge of Town (Like a Version) ,Paul Dempsey , Australia,2017
89,Dawning ,DMA's , Australia,2017
90,Hyperreal ,Flume featuring Kucka , Australia,2017
91,Big For Your Boots ,Stormzy , United Kingdom,2017
92,LOVE. FEAT. ZACARI.,Kendrick Lamar featuring Zacari , United States,2017
93,Do What You Want ,The Presets , Australia,2017
94,Second Hand Car ,Kim Churchill , Australia,2017
95,Mask Off ,Future , United States,2017
96,Chasin' ,Cub Sport , Australia,2017
97,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar featuring Rihanna , United States/ Barbados,2017
98,Snow ,Angus & Julia Stone , Australia,2017
99,Arty Boy ,Flight Facilities featuring Emma Louise , Australia,2017
100,Don't Leave ,Snakehips and MØ , United Kingdom/ Denmark,2017
1,Never Be Like You (feat. Kai) ,Flume featuring Kai , Australia/ Canada,2016
2,Adore ,Amy Shark , Australia,2016
3,Jungle ,Tash Sultana , Australia,2016
4,1955,Hilltop Hoods featuring Montaigne and Tom Thum , Australia,2016
5,Redbone ,Childish Gambino , United States,2016
6,Believe (Like a Version) ,DMA's , Australia,2016
7,Papercuts (feat. Vera Blue),Illy featuring Vera Blue , Australia,2016
8,Say It ,Flume featuring Tove Lo , Australia/ Sweden,2016
9,Stranger ,Peking Duk featuring Elliphant , Australia/ Sweden,2016
10,Starboy ,The Weeknd featuring Daft Punk , Canada/ France,2016
11,Chameleon ,Pnau , Australia,2016
12,Cocoon ,Milky Chance , Germany,2016
13,Love$ick ,Mura Masa featuring ASAP Rocky , Guernsey/ United States,2016
14,Viceroy ,Violent Soho , Australia,2016
15,Genghis Khan ,Miike Snow , Sweden,2016
16,January 26,A.B. Original featuring Dan Sultan , Australia,2016
17,The Opposite of Us ,Big Scary , Australia,2016
18,All Night (feat. Knox Fortune),Chance the Rapper featuring Knox Fortune , United States,2016
19,7,Catfish and the Bottlemen , United Kingdom,2016
20,On Hold ,The xx , United Kingdom,2016
21,Death to the Lads ,The Smith Street Band , Australia,2016
22,Ultralight Beam ,Kanye West , United States,2016
23,Catch 22 (feat. Anne-Marie),Illy featuring Anne-Marie , Australia/ United Kingdom,2016
24,Come On Mess Me Up ,Cub Sport , Australia,2016
25,Because I Love You ,Montaigne , Australia,2016
26,Make Them Wheels Roll ,Safia , Australia,2016
27,Drive ,Gretta Ray , Australia,2016
28,Frankie Sinatra ,The Avalanches , Australia,2016
29,Our Town ,Sticky Fingers , Australia,2016
30,Innerbloom - What So Not Remix,Rüfüs , Australia,2016
31,One Dance ,Drake featuring Wizkid and Kyla , Canada/ Nigeria/ United Kingdom,2016
32,Notion ,Tash Sultana , Australia,2016
33,Bullshit ,Dune Rats , Australia,2016
34,Scott Green ,Dune Rats , Australia,2016
35,World Of Our Love ,Client Liaison , Australia,2016
36,Sad Songs ,Sticky Fingers , Australia,2016
37,Smoke & Retribution (feat. Vince Staples & Kucka),Flume featuring Vince Staples and Kucka , Australia/ United States,2016
38,Youth ,Glass Animals , United Kingdom,2016
39,Step Up The Morphine ,DMA's , Australia,2016
40,Surfin' ,Kid Cudi featuring Pharrell , United States,2016
41,I Feel It Coming ,The Weeknd featuring Daft Punk , Canada/ France,2016
42,Heartlines ,Broods , New Zealand,2016
43,Final Song ,MØ , Denmark,2016
44,Satan ,D.D Dumbo , Australia,2016
45,Dumb Things (Like a Version) ,A.B. Original featuring Paul Kelly and Dan Sultan , Australia,2016
46,Dang! (feat. Anderson .Paak),Mac Miller featuring Anderson .Paak , United States,2016
47,Walrus ,D.D Dumbo , Australia,2016
48,Creepin ,Kingswood , Australia,2016
49,Higher ,Hilltop Hoods featuring James Chatburn , Australia,2016
50,Strange Diseases ,Gang of Youths , Australia,2016
51,Outcast at Last ,Sticky Fingers , Australia,2016
52,Love Yourself (Like a Version) ,Halsey , United States,2016
53,Blanket ,Violent Soho , Australia,2016
54,Bored To Death ,Blink-182 , United States,2016
55,Say a Prayer For Me ,Rüfüs , Australia,2016
56,Keeping Score (Like a Version) ,Paces featuring Guy Sebastian , Australia,2016
57,Twice ,Catfish and the Bottlemen , United Kingdom,2016
58,Girlie Bits ,Ali Barter , Australia,2016
59,Solo ,Frank Ocean , United States,2016
60,Drinkee ,Sofi Tukker , United States,2016
61,Gamma Knife ,King Gizzard & the Lizard Wizard , Australia,2016
62,Marinade ,Dope Lemon , Australia,2016
63,Life Itself ,Glass Animals , United Kingdom,2016
64,Alaska ,Maggie Rogers , United States,2016
65,All Fucked Up ,The Amity Affliction , Australia,2016
66,Hold Up ,Beyoncé , United States,2016
67,I Bring The Weather With Me ,The Amity Affliction , Australia,2016
68,Next To You ,L D R U featuring Savoi , Australia,2016
69,So Sentimental ,Violent Soho , Australia,2016
70,Wolfie (feat. Julia Stone),Golden Features featuring Julia Stone , Australia,2016
71,Free ,Broods , New Zealand,2016
72,Famous ,Kanye West , United States,2016
73,No Shade ,Violent Soho , Australia,2016
74,Lost (Season One) ,Camp Cope , Australia,2016
75,Because I'm Me ,The Avalanches , Australia,2016
76,This Could Be Heartbreak ,The Amity Affliction , Australia,2016
77,Soundcheck ,Catfish and the Bottlemen , United Kingdom,2016
78,Settle ,Vera Blue , Australia,2016
79,Burn the Witch ,Radiohead , United Kingdom,2016
80,Gemini Feed ,Banks , United States,2016
81,Panda ,Desiigner , United States,2016
82,Think About It ,Thundamentals featuring Peta & the Wolves , Australia,2016
83,Simulation ,Tkay Maidza , Australia,2016
84,Pink + White ,Frank Ocean , United States,2016
85,My Love Is Gone ,Safia , Australia,2016
86,Dopamine (feat. Thief),Bliss n Eso featuring Thief , Australia,2016
87,Uptown Folks ,Dope Lemon , Australia,2016
88,Me and Your Mama ,Childish Gambino , United States,2016
89,Over You ,Safia , Australia,2016
90,Anything Near Conviction ,Luca Brasi , Australia,2016
91,Subways ,The Avalanches , Australia,2016
92,How To Taste ,Violent Soho , Australia,2016
93,High And Low ,Empire of the Sun , Australia,2016
94,Fading ,Vallis Alps , Australia,2016
95,Lose It ,Flume featuring Vic Mensa , Australia/ United States,2016
96,Hanging by a Thread (feat. Natalie Foster),Elk Road featuring Natalie Foster , Australia,2016
97,You Don't Think You Like People Like Me ,Alex Lahey , Australia,2016
98,Season 2 Episode 3 ,Glass Animals , United Kingdom,2016
99,Too Good ,Drake featuring Rihanna , Canada/ Barbados,2016
100,Brace ,Birds of Tokyo , Australia,2016
1,Hoops ,The Rubens , Australia,2015
2,King Kunta ,Kendrick Lamar , United States,2015
3,Lean On (feat. MØ & DJ Snake),Major Lazer featuring MØ & DJ Snake , United States/ Denmark/ France,2015
4,The Less I Know The Better ,Tame Impala , Australia,2015
5,Let It Happen ,Tame Impala , Australia,2015
6,The Trouble with Us ,Marcus Marr & Chet Faker , United Kingdom/ Australia,2015
7,Do You Remember ,Jarryd James , Australia,2015
8,The Buzz (feat. Mataya & Young Tapz),Hermitude featuring Mataya & Young Tapz , Australia/ New Zealand,2015
9,Can't Feel My Face ,The Weeknd , Canada,2015
10,Magnets ,Disclosure featuring Lorde , United Kingdom/ New Zealand,2015
11,Never Be ,Meg Mac , Australia,2015
12,You Were Right ,RÜFÜS , Australia,2015
13,Ocean Drive ,Duke Dumont , United Kingdom,2015
14,Hotline Bling ,Drake , Canada,2015
15,Like Soda ,Violent Soho , Australia,2015
16,Fire and the Flood ,Vance Joy , Australia,2015
17,Middle ,DJ Snake featuring Bipolar Sunshine , France/ United Kingdom,2015
18,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz ", United States,2015
19,The Hills ,The Weeknd , Canada,2015
20,Mountain At My Gates ,Foals , United Kingdom,2015
21,Magnolia ,Gang of Youths , Australia,2015
22,Keeping Score ,LDRU featuring Paige IV , Australia,2015
23,Embracing Me ,SAFIA , Australia,2015
24,Some Minds (feat. Andrew Wyatt),Flume featuring Andrew Wyatt , Australia/ United States,2015
25,Shine On ,The Amity Affliction , Australia,2015
26,I Know There's Gonna Be (Good Times) ,Jamie xx featuring Young Thug & Popcaan , United Kingdom/ United States/ Jamaica,2015
27,Young ,Vallis Alps , Australia/ United States,2015
28,Like An Animal ,RÜFÜS , Australia,2015
29,Greek Tragedy ,The Wombats , United Kingdom,2015
30,Say My Name ,Peking Duk featuring Benjamin Joseph , Australia,2015
31,Loud Places ,Jamie xx featuring Romy , United Kingdom,2015
32,Leave A Trace ,Chvrches , United Kingdom,2015
33,Long Loud Hours ,Urthboy featuring Bertie Blackman , Australia,2015
34,Eventually ,Tame Impala , Australia,2015
35,Counting Sheep ,SAFIA , Australia,2015
36,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips featuring Tinashe and Chance the Rapper , United Kingdom/ United States,2015
37,Alright ,Kendrick Lamar , United States,2015
38,Delilah ,Florence and the Machine , United Kingdom,2015
39,Swear Jar ,Illy , Australia,2015
40,Ship To Wreck ,Florence and the Machine , United Kingdom,2015
41,Puppet Theatre ,Claptone featuring Peter Bjorn and John , Germany/ Sweden,2015
42,Hold Me Down ,Halsey , United States,2015
43,Pedestrian at Best ,Courtney Barnett , Australia,2015
44,Something About You ,Hayden James , Australia,2015
45,Throne ,Bring Me the Horizon , United Kingdom,2015
46,Go ,The Chemical Brothers featuring Q-Tip , United Kingdom/ United States,2015
47,Dynamite (feat. Allday),Asta featuring Allday , Australia,2015
48,Crushed ,Parkway Drive , Australia,2015
49,Too Much Time Together ,San Cisco , Australia,2015
50,Deception Bay ,Boo Seeka , Australia,2015
51,Clearest Blue ,Chvrches , United Kingdom,2015
52,Cream On Chrome ,Ratatat , United States,2015
53,Monday ,Matt Corby , Australia,2015
54,Working For It - Bonus Track ,"ZHU, Skrillex and THEY. ", United States,2015
55,Multi-Love ,Unknown Mortal Orchestra , New Zealand/ United States,2015
56,Alive ,Sia , Australia,2015
57,Foolish ,Alpine , Australia,2015
58,Vice Grip ,Parkway Drive , Australia,2015
59,Run ,Alison Wonderland , Australia,2015
60,Kamikaze ,MØ , Denmark,2015
61,Cause I'm A Man ,Tame Impala , Australia,2015
62,Omen - Radio Edit,Disclosure featuring Sam Smith , United Kingdom,2015
63,Walk the Wire ,Boy & Bear , Australia,2015
64,L$D ,ASAP Rocky , United States,2015
65,Don't Wanna Fight ,Alabama Shakes , United States,2015
66,M.O.B. ,Tkay Maidza , Australia,2015
67,Give Me a Try ,The Wombats , United Kingdom,2015
68,Shutdown ,Skepta , United Kingdom,2015
69,Forces ,Japanese Wallpaper featuring Airling , Australia,2015
70,What Kind Of Man ,Florence and the Machine , United Kingdom,2015
71,Flesh without Blood ,Grimes , Canada,2015
72,Anchor ,Birds of Tokyo , Australia,2015
73,Once - Radio Edit,Ngaiire , Papua New Guinea/  Australia,2015
74,Powerful (feat. Ellie Goulding & Tarrus Riley),Major Lazer featuring Ellie Goulding and Tarrus Riley , United States/ United Kingdom/ Jamaica,2015
75,Elevator Operator ,Courtney Barnett , Australia,2015
76,Suddenly ,British India , Australia,2015
77,Lay Down ,DMA's , Australia,2015
78,Weathered ,Jack Garratt , United Kingdom,2015
79,Wolves ,The Cat Empire , Australia,2015
80,Everyday ,"ASAP Rocky featuring Rod Stewart, Miguel and Mark Ronson ", United States/ United Kingdom,2015
81,Big Jet Plane (Like a Version) ,Tuka , Australia,2015
82,Depreston ,Courtney Barnett , Australia,2015
83,Down to Earth - Radio Edit,Flight Facilities , Australia,2015
84,Delete (Like a Version) ,Sticky Fingers , Australia,2015
85,Heart Attack - Radio Edit,Flight Facilities featuring Owl Eyes , Australia,2015
86,Happy Song ,Bring Me the Horizon , United Kingdom,2015
87,begin again ,Purity Ring , Canada,2015
88,Party Machine ,The Bennies , Australia,2015
89,High By The Beach ,Lana Del Rey , United States,2015
90,Gemini (feat. George Maple),What So Not featuring George Maple , Australia,2015
91,Be Your Shadow ,The Wombats , United Kingdom,2015
92,No One (feat. Thelma Plum),Golden Features featuring Thelma Plum , Australia,2015
93,Indian Summer ,Jai Wolf , United States,2015
94,Ghost ,Halsey , United States,2015
95,Nobody Really Cares If You Don't Go to the Party ,Courtney Barnett , Australia,2015
96,Rumour Mill (feat. Anne-Marie & Will Heard),Rudimental featuring Anne-Marie and Will Heard , United Kingdom,2015
97,Twilight Driving ,Methyl Ethel , Australia,2015
98,Be Together (feat. Wild Belle),Major Lazer featuring Wild Belle , United States,2015
99,True Friends ,Bring Me the Horizon , United Kingdom,2015
100,Hell Boy ,Seth Sentry , Australia,2015
1,Talk Is Cheap ,Chet Faker , Australia,2014
2,High - Original Mix,Peking Duk featuring Nicole Millar , Australia,2014
3,Cosby Sweater ,Hilltop Hoods , Australia,2014
4,Stolen Dance - Radio Edit,Milky Chance , Germany,2014
5,Take Me Over ,Peking Duk featuring SAFIA , Australia,2014
6,Uptown Funk ,Mark Ronson featuring Bruno Mars , United Kingdom/ United States,2014
7,Gold ,Chet Faker , Australia,2014
8,1998,Chet Faker , Australia,2014
9,Chandelier ,Sia , Australia,2014
10,King And Cross ,Ásgeir , Iceland,2014
11,Faded ,Zhu , United States,2014
12,Gooey ,Glass Animals , United Kingdom,2014
13,Mess Is Mine ,Vance Joy , Australia,2014
14,Every Other Freckle ,alt-J , United Kingdom,2014
15,Arcadia ,The Kite String Tangle , Australia,2014
16,Left Hand Free ,alt-J , United Kingdom,2014
17,Tightrope ,Illy featuring Scarlett Stevens , Australia,2014
18,Yellow Flicker Beat - From The Hunger Games: Mockingjay Part 1,Lorde , New Zealand,2014
19,She Only Loves Me When I'm There ,Ball Park Music , Australia,2014
20,Gold Snafu ,Sticky Fingers , Australia,2014
21,Red Eyes ,The War on Drugs , United States,2014
22,Pittsburgh - No Intro,The Amity Affliction , Australia,2014
23,Seasons (Waiting On You) ,Future Islands , United States,2014
24,Roll Up Your Sleeves ,Meg Mac , Australia,2014
25,I'll Go Crazy ,Bluejuice , Australia,2014
26,Hunger Of The Pine ,alt-J , United Kingdom,2014
27,Beggin For Thread ,Banks , United States,2014
28,Beware The Dog,The Griswolds , Australia,2014
29,Somebody's Talking ,The Preatures , Australia,2014
30,Something I Said ,Thundamentals featuring Thom Crawford , Australia,2014
31,Sober ,Childish Gambino , United States,2014
32,West Coast ,Lana Del Rey , United States,2014
33,RUN ,San Cisco , Australia,2014
34,NEW DORP. NEW YORK,SBTRKT featuring Ezra Koenig , United Kingdom/ United States,2014
35,You Always Know THE DJ ,Allday , Australia,2014
36,Won't Let You Down ,Hilltop Hoods featuring Maverick Sabre , Australia/ United Kingdom,2014
37,I Want U ,Alison Wonderland , Australia,2014
38,My Silver Lining ,First Aid Kit , Sweden,2014
39,Two Bodies ,Flight Facilities featuring Emma Louise , Australia,2014
40,Mother & Father ,Broods , New Zealand,2014
41,Maybe ,Carmada , Australia,2014
42,Window to the Sky ,Kim Churchill , Australia,2014
43,Zombie ,Jamie T , United Kingdom,2014
44,Flashed Junk Mind ,Milky Chance , Germany,2014
45,Two Weeks ,FKA twigs , United Kingdom,2014
46,Grandma's Hands ,Meg Mac , Australia,2014
47,(Lover) You Don't Treat Me No Good (Like a Version) ,Chet Faker , Australia,2014
48,Delete ,DMA's , Australia,2014
49,Happy Idiot ,TV on the Radio , United States,2014
50,First Time ,Vance Joy , Australia,2014
51,Pickles from the Jar ,Courtney Barnett , Australia,2014
52,Sunshine ,Flight Facilities featuring Reggie Watts , Australia/ United States,2014
53,i - <U+30AF><U+30EA><U+30FC><U+30F3>·<U+30F4><U+30A1><U+30FC><U+30B8><U+30E7><U+30F3> ,Kendrick Lamar , United States,2014
54,Do I Wanna Know? (Like a Version) ,Chvrches , United Kingdom,2014
55,Can't Do Without You ,Caribou , Canada,2014
56,ICFTYDLM (I Can Feel That You Don't Love Me) ,Kingswood , Australia,2014
57,Walking Under Stars ,Hilltop Hoods , Australia,2014
58,Everything Is Shit Except My Friendship With You ,Ball Park Music , Australia,2014
59,Monument - The Inevitable End Version,Röyksopp and Robyn , Norway/ Sweden,2014
60,IV. wweatpants ,Childish Gambino , United States,2014
61,Talk Too Much ,Andy Bull , Australia,2014
62,Heart Beats Slow ,Angus & Julia Stone , Australia,2014
63,Tennis Court (Flume Remix) ,Lorde , New Zealand/ Australia,2014
64,Don't Lean on Me ,The Amity Affliction , Australia,2014
65,Right Now ,Allday , Australia,2014
66,Work Work ,clipping. featuring Cocc Pistol Cree , United States,2014
67,Busy Earnin' ,Jungle , United Kingdom,2014
68,Drown ,Bring Me the Horizon , United Kingdom,2014
69,Surrender ,The Smith Street Band , Australia,2014
70,Is It A Banger? ,Odd Mob , Australia,2014
71,The Weigh Down ,The Amity Affliction , Australia,2014
72,Close Your Eyes (And Count to Fuck) [feat. Zack De La Rocha],Run the Jewels featuring Zack de la Rocha , United States,2014
73,Do It Again ,Röyksopp and Robyn , Norway/ Sweden,2014
74,I Got U ,Duke Dumont featuring Jax Jones , United Kingdom,2014
75,Live It Up ,360 featuring Pez , Australia,2014
76,Micro Wars ,Kingswood , Australia,2014
77,Since Last Wednesday ,Highasakite , Norway,2014
78,Quit Your Job ,Thundamentals , Australia,2014
79,Lazaretto ,Jack White , United States,2014
80,I Don't Want To Be Here Anymore ,Rise Against , United States,2014
81,Fade Out Lines - The Avener Rework,The Avener , France,2014
82,Dreamers (feat. Phoebe Lou),Hopium featuring Phoebe Lou , Australia,2014
83,Cocoon ,Catfish and the Bottlemen , United Kingdom,2014
84,Something From Nothing ,Foo Fighters , United States,2014
85,Get Away ,Chvrches , United Kingdom,2014
86,Just For You ,Sticky Fingers , Australia,2014
87,Pray to God ,Calvin Harris featuring Haim , United Kingdom/ United States,2014
88,Gina Works At Hearts ,DZ Deathrays , Australia,2014
89,First ,Cold War Kids , United States,2014
